Player,Mat,Inns,NO,Runs,Ave,SR,HS,50s,100s,0s,4s,6s,Balls, 
Forhad Ahmed,2,2,0,35,17.5,76.08695652,23,0,0,0,4,0,46,
A Akash,1,0,0,0,-,,0*,0,0,0,0,0,0,
B Ali,1,1,0,7,7,,7,0,0,0,1,0,0,
S Ali,1,0,0,0,-,,0,0,0,0,0,0,0,
S Anaokar,129,119,13,2600,24.52830189,,111,13,3,16,183,21,0,
Matthew Ashton,121,93,20,973,13.32876712,,101,0,1,15,85,4,0,
J Baird-Murray,4,3,0,46,15.33333333,,26,0,0,0,5,0,0,
P Baker,1,0,0,0,-,,0,0,0,0,0,0,0,
D Banger,14,14,3,147,13.36363636,,45,0,0,3,18,2,0,
A Bangotra,22,22,0,527,23.95454545,,82,4,0,0,52,1,0,
B Barker,1,1,0,6,6,,6,0,0,0,1,0,0,
S Barnes,1,0,0,0,-,,0,0,0,0,0,0,0,
Adam Barraclough,51,50,4,1344,29.2173913,111.3504557,99,10,0,4,125,16,1207,
Rory Barraclough,3,3,2,20,20,,13,0,0,0,1,0,0,
William Barras,52,43,9,621,18.26470588,,44,0,0,4,81,4,0,
A Barrass,1,1,0,25,25,,25,0,0,0,0,0,0,
J Barron,16,14,5,34,3.777777778,,18,0,0,6,4,0,0,
H Barry,1,0,0,0,-,,0,0,0,0,0,0,0,
T Barry,2,1,0,0,0,,0,0,0,1,0,0,0,
P Basic,12,10,1,350,38.88888889,,78,3,0,0,51,3,0,
Ed Beesley,43,20,9,122,11.09090909,,49,0,0,4,5,2,0,
Julian Bell,72,66,7,635,10.76271186,,45,0,0,13,52,1,0,
? Bennet,1,1,0,0,0,,0,0,0,1,0,0,0,
Ian Berry,158,149,25,2465,19.87903226,,78,12,0,16,0,0,0,
A Bhattacharryya,2,1,0,1,1,,1,0,0,0,0,0,0,
Raiffe Bidder,4,3,1,11,5.5,39.28571429,5,0,0,0,1,0,28,
E Bird,50,46,4,1263,30.07142857,,87,7,0,5,4,0,0,
Matt Bolshaw,23,17,2,244,16.26666667,108.9285714,44,0,0,3,30,3,224,
Andrew Boyd,100,61,20,82,2,,9,0,0,23,5,0,0,
C Bradley,4,2,1,14,14,,10,0,0,0,0,0,0,
B Breen,1,1,0,22,22,,22,0,0,0,5,0,0,
Doug Brennan,11,9,2,42,6,,11,0,0,3,4,0,0,
W Brett,4,2,1,45,45,,41,0,0,0,6,0,0,
Steve Britto,356,347,45,8619,28.5397351,,135,44,6,29,854,98,0,
B Brown,17,15,2,192,14.76923077,,35,0,0,1,6,3,0,
M Brown,1,1,0,2,2,,2,0,0,0,0,0,0,
P Brown,22,21,1,52,2.6,,22,0,0,8,4,0,0,
D Bruce,1,1,0,0,0,,0,0,0,1,0,0,0,
G Buckley,1,1,0,0,0,,0,0,0,1,0,0,0,
Richard Buckley,200,175,20,1994,12.86451613,,73,6,0,30,158,2,0,
G Buckner,117,107,12,1712,18.02105263,,84,6,0,11,32,3,0,
