Wicket	Runs	Batsman 1	Score 1	Batsman 2	Score 2	Opposition	Team	Type	Date	PcMatchId
1	192*	P Basic	56*	Steve Britto	100*	South Harrow CC	Friendly XI	Friendly	27/8/06	
2	174	W Skidelsky	62	S Anaokar	111	Swamibapa CC	1st XI	League	28/8/04	
3	198	Steve Britto	113	Dyll Davies	77	North Harrow CC	1st XI	League	28/5/05	
4	191	Freddie Mills	132*	Steve Britto	55	Cranbourne CC	1st XI	Friendly	10/9/11	
5	127*	Leon Parks	91*	Sav Gatfield	59*	Morden CC	Friendly XI	Friendly	13/6/10	
6	123	Matt Ridgway	75	R McHarg	56*	Hendon Edgware CC	1st XI	League	16/5/09	
7	149	J Meade	41	L Patel	100*	Colemans Hatch CC	1st XI	Friendly	13/7/96	
8	83	Simon Carson	42	Sid Swaminathan	47	Northfields CC	Friendly XI	Friendly	24/7/11	
9	74	Matthew Ashton	43*	Simon Gillman	35*	SAI CC	Friendly XI	Friendly	25/4/04	
10	58*	J Ferrier	53*	Simon Gillman	21*	Muktajavan CC	1st XI	League	3/8/02	
